Date,Open,High,Low,Close,Adj Close,Volume,Open_brl,High_brl,Low_brl,Close_brl,Adj Close_brl,Volume_brl,Open_bvsp,High_bvsp,Low_bvsp,Close_bvsp,Adj Close_bvsp,Volume_bvsp,Open_petroleo,High_petroleo,Low_petroleo,Adj Close_petroleo,Volume_petroleo,Open_ouro,High_ouro,Low_ouro,Adj Close_ouro,Volume_ouro,Adj Close_goll4
2020-04-20,5.2337,5.2985,5.233072,5.2327,5.2327,0,5.2337,5.2985,5.233072,5.2327,5.2327,0,78989.0,80106.0,76943.0,78973.0,78973.0,8874700,17.73,17.85,-40.32,-37.63,247950.0,1693.0,1718.4,1685.0,1711.2,186910.0,12.07
2020-04-22,5.3155,5.3975,5.3038,5.315,5.315,0,5.3155,5.3975,5.3038,5.315,5.315,0,78973.0,81184.0,78973.0,80687.0,80687.0,9848900,13.12,16.18,10.26,13.78,1240000.0,1703.1,1742.4,1695.4,1738.3,193730.0,11.9
2020-04-23,5.4566,5.481,5.401,5.4569,5.4569,0,5.4566,5.481,5.401,5.4569,5.4569,0,80690.0,81934.0,78622.0,79673.0,79673.0,10823500,14.2,18.26,13.35,16.5,833580.0,1736.5,1764.2,1730.6,1745.4,201880.0,12.11
2020-04-24,5.5336,5.7135,5.5012,5.5331,5.5331,0,5.5336,5.7135,5.5012,5.5331,5.5331,0,79667.0,79667.0,72041.0,75331.0,75331.0,16529200,16.78,17.97,15.64,16.94,600220.0,1753.0,1760.2,1725.4,1735.6,180240.0,10.67
2020-04-27,5.5921,5.6825,5.5383,5.5726,5.5726,0,5.5921,5.6825,5.5383,5.5726,5.5726,0,75334.0,78563.0,75327.0,78239.0,78239.0,10656900,16.84,16.98,11.88,12.78,623200.0,1745.0,1745.8,1720.0,1723.8,146640.0,10.92
2020-04-28,5.6532,5.654,5.5472,5.6526,5.6526,0,5.6532,5.654,5.5472,5.6526,5.6526,0,78243.0,81427.0,78243.0,81312.0,81312.0,12939000,12.96,13.69,10.07,12.34,897090.0,1724.4,1731.9,1704.1,1722.2,171340.0,12.19
2020-04-29,5.4966,5.520564,5.37303,5.4974,5.4974,0,5.4966,5.520564,5.37303,5.4974,5.4974,0,81313.0,83598.0,81313.0,83171.0,83171.0,11719700,13.35,16.78,12.67,15.06,554130.0,1724.8,1733.5,1708.2,1713.4,159600.0,13.34
2020-04-30,5.3349,5.4417,5.331065,5.3348,5.3348,0,5.3349,5.4417,5.331065,5.3348,5.3348,0,83169.0,83169.0,80168.0,80506.0,80506.0,11804600,15.64,19.44,15.45,18.84,545340.0,1729.6,1737.0,1687.5,1694.2,234530.0,12.4
2020-05-04,5.4853,5.5991,5.481905,5.477,5.477,0,5.4853,5.5991,5.481905,5.477,5.477,0,80501.0,80502.0,77640.0,78876.0,78876.0,8594200,19.11,21.42,18.05,20.39,311490.0,1711.2,1726.0,1700.3,1713.3,148730.0,11.15
2020-05-05,5.539295,5.5627,5.481327,5.5406,5.5406,0,5.539295,5.5627,5.481327,5.5406,5.5406,0,78887.0,81066.0,78886.0,79471.0,79471.0,9154700,21.24,25.49,21.13,24.56,387240.0,1711.0,1717.8,1695.4,1710.6,184730.0,11.78
